"#",,,,GOE,,J1,J2,J3,J4,J5 Info,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,2A,3.30,,,0.90,3,3,2,3,2,3,3,3,2,,4.20
2,3Lz<+3T< !,7.58,,,-1.90,-4,-4,-4,-4,-3,-5,-4,-5,-5,,5.68
3,CCoSp4,3.50,,,1.05,3,3,3,3,3,3,3,3,3,,4.55
4,FSSp4,3.00,,,0.77,2,3,3,2,3,3,3,2,2,,3.77
5,3F,5.83,x,,1.21,2,2,2,2,3,1,3,2,3,,7.04
6,LSp4,2.70,,,0.96,3,4,4,3,3,4,4,4,3,,3.66
7,StSq2,2.60,,,0.71,3,2,3,2,3,3,4,3,2,,3.31
"",,28.51,,,,,,,,,,,,,,32.21
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,7.75,8.00,7.75,7.75,7.25,7.50,8.25,8.25,7.75,,7.82
"",Transitions,,,,0.80,7.25,7.25,7.75,7.50,7.00,6.75,8.25,7.50,7.75,,7.43
"",Performance,,,,0.80,7.50,7.75,8.00,8.50,7.50,8.25,8.25,8.25,8.25,,8.04
"",Composition,,,,0.80,7.75,7.75,7.75,7.00,7.50,7.25,8.50,8.00,8.00,,7.71
"",Interpretation of the Music,,,,0.80,7.50,8.25,8.00,7.25,7.75,7.75,8.25,8.25,8.00,,7.93
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,31.14
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
6,Elizabet TURSYNBAEVA,KAZ,9,61.19,29.67,31.52,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,3Lz< !,4.43,,,-1.46,-1,-3,-1,-5,-3,-3,-4,-5,-4,,2.97
2,2A,3.30,,,0.71,2,3,3,2,1,2,2,4,1,,4.01
3,CCoSp4,3.50,,,1.10,3,4,3,2,3,3,3,4,3,,4.60
4,3S+3T< <,8.20,x,,-0.49,0,-1,0,-3,-2,-2,-1,1,-2,,7.71
5,FCSp4,3.20,,,0.32,1,2,1,1,1,0,0,1,2,,3.52
6,StSq2,2.60,,,0.63,2,3,2,2,1,2,4,4,2,,3.23
7,LSp4,2.70,,,0.93,3,4,3,3,3,3,4,5,4,,3.63
"",,27.93,,,,,,,,,,,,,,29.67
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,7.75,8.50,8.25,7.50,7.00,7.00,8.50,8.50,8.50,,8.00
"",Transitions,,,,0.80,7.25,8.25,8.00,7.00,6.75,6.75,8.25,8.25,8.25,,7.68
"",Performance,,,,0.80,7.50,8.50,8.25,7.25,7.00,7.25,8.00,8.25,8.50,,7.86
"",Composition,,,,0.80,7.50,8.75,8.00,7.00,6.75,7.25,8.25,8.25,8.75,,7.86
"",Interpretation of the Music,,,,0.80,7.25,8.75,8.25,7.25,7.00,7.50,8.75,8.50,8.50,,8.00
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,31.52
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
7,Evgenia MEDVEDEVA,RUS,10,60.83,26.50,34.33,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5 Info,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,3Lz !,5.90,,,0.25,2,0,1,0,0,0,1,1,-1,,6.15
2,2A,3.30,,,0.80,2,3,3,2,2,2,2,3,3,,4.10
3,CSp4,2.60,,,0.71,3,3,3,3,3,2,3,2,2,,3.31
4,3F<<+COMBO <<,1.98,x,,-0.90,-5,-5,-5,-5,-5,-5,-5,-5,-5,,1.08
5,StSq3,3.30,,,1.08,4,3,3,3,3,3,4,3,4,,4.38
6,FSSp2,2.30,,,0.53,3,3,2,1,2,2,2,2,3,,2.83
7,CCoSp4,3.50,,,1.15,3,4,3,2,3,3,4,3,4,,4.65
"",,22.88,,,,,,,,,,,,,,26.50
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,8.75,8.75,8.75,8.50,8.00,8.25,9.00,8.75,9.00,,8.68
"",Transitions,,,,0.80,8.25,8.50,8.75,8.00,8.00,7.50,9.00,8.50,9.25,,8.43
"",Performance,,,,0.80,8.50,8.75,8.50,8.50,8.25,7.75,8.75,8.25,8.75,,8.50
"",Composition,,,,0.80,8.75,8.75,8.75,8.50,8.00,7.75,9.25,8.75,9.25,,8.68
"",Interpretation of the Music,,,,0.80,8.50,8.75,8.75,8.75,8.25,8.50,9.25,8.50,8.75,,8.64
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,34.33
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
8,Alaine CHARTRAND,CAN,4,60.47,31.82,28.65,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,2A,3.30,,,0.75,1,3,3,3,1,2,3,4,1,,4.05
2,3Lz+3T< <,9.05,,,-0.67,0,-1,-1,-1,-1,-2,-2,1,-3,,8.38
3,FSSp3,2.60,,,0.45,1,3,2,1,2,2,2,2,1,,3.05
4,3Lo,5.39,x,,0.42,2,0,1,0,0,1,1,3,1,,5.81
5,StSq2,2.60,,,0.71,2,3,3,2,1,4,3,4,2,,3.31
6,LSp3,2.40,,,0.62,2,3,3,3,1,3,3,3,0,,3.02
7,CCoSp4,3.50,,,0.70,2,2,2,1,1,3,3,3,1,,4.20
"",,28.84,,,,,,,,,,,,,,31.82
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,7.00,7.75,7.50,7.50,6.50,7.50,7.50,8.50,7.25,,7.43
"",Transitions,,,,0.80,6.50,7.50,7.25,5.75,6.00,6.00,7.00,7.75,6.75,,6.71
"",Performance,,,,0.80,7.25,7.75,7.50,7.25,6.25,7.25,7.25,8.25,7.00,,7.32
"",Composition,,,,0.80,7.00,7.75,7.50,6.50,6.50,6.75,7.50,8.00,7.00,,7.14
"",Interpretation of the Music,,,,0.80,6.75,8.00,7.50,6.75,6.50,7.25,7.50,8.00,6.75,,7.21
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,28.65
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
9,Alicia PINEAULT,CAN,2,59.02,31.99,27.03,0.00
"",Executed Base,,,,,,,,,,,,,Scores of
"#",,GOE,,J1,J2,J3,J4,J5,InfJo6,J7,J8,J9,Ref,
"",Elements Value,,,,,,,,,,,,,Panel
1,3T+3T  8.40,,-1.26,-3,-3,-2,-3,-4,-3,-4,-2,-3,,7.14
2,3Lo  4.90,,0.49,2,0,2,1,1,1,0,3,0,,5.39
3,FCSp4  3.20,,0.55,2,2,2,1,2,2,1,3,1,,3.75
4,2A  3.30,,0.52,2,1,1,2,1,1,2,2,2,,3.82
5,LSp4  2.70,,0.27,1,0,2,0,1,1,1,2,1,,2.97
6,StSq4  3.90,,0.67,1,0,2,1,1,1,3,3,3,,4.57
7,CCoSp4  3.50,,0.85,2,2,3,2,2,3,3,4,0,,4.35
"",29.90,,,,,,,,,,,,,31.99
"",Program Components,,Factor,,,,,,,,,,,
"",Skating Skills,,0.80,7.00,6.75,6.75,6.25,6.50,5.75,6.25,7.25,7.25,,6.68
"",Transitions,,0.80,6.50,7.00,6.75,6.50,6.00,5.25,5.75,7.00,7.00,,6.50
"",Performance,,0.80,6.75,7.00,7.00,7.25,6.25,6.00,6.25,7.50,7.50,,6.86
"",Composition,,0.80,7.00,7.25,7.00,6.75,6.50,5.50,6.25,7.25,7.25,,6.86
"",Interpretation of the Music,,0.80,6.75,7.25,7.00,7.00,6.50,6.00,6.50,7.25,7.50,,6.89
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,27.03
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
10,Yura MATSUDA,JPN,5,53.35,26.64,26.71,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,3T+3T< <,7.35,,,-0.66,0,-2,-1,-2,-1,-2,-2,-1,-2,,6.69
2,3Lo< <,3.68,,,-0.63,-1,-2,-1,-2,-1,-2,-2,-2,-2,,3.05
3,FCSp4,3.20,,,0.59,1,2,2,2,2,1,2,3,2,,3.79
4,SSp2,1.60,,,0.23,1,2,1,1,1,2,2,2,1,,1.83
5,StSq2,2.60,,,0.48,2,1,1,2,1,2,2,3,3,,3.08
6,2A,3.63,x,,0.57,2,1,1,3,2,1,1,2,3,,4.20
7,CCoSp4,3.50,,,0.50,1,1,1,1,2,1,2,2,2,,4.00
"",,25.56,,,,,,,,,,,,,,26.64
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,6.50,7.25,6.00,7.00,6.25,7.50,6.25,6.75,8.00,,6.79
"",Transitions,,,,0.80,6.00,7.25,6.00,6.50,6.00,5.75,6.25,6.75,7.75,,6.39
"",Performance,,,,0.80,6.25,7.50,6.25,7.25,6.25,6.25,6.00,7.00,8.00,,6.68
"",Composition,,,,0.80,6.50,7.50,6.00,7.00,6.25,6.00,6.50,7.25,8.25,,6.71
"",Interpretation of the Music,,,,0.80,6.50,7.25,6.25,7.50,6.50,6.25,6.25,7.50,7.75,,6.82
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,26.71
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
11,Daria PANENKOVA,RUS,1,51.41,25.35,26.06,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,FCSp4,3.20,,,0.50,2,0,1,2,2,1,1,2,2,,3.70
2,1F* !,0.00,,,0.00,-,-,-,-,-,-,-,-,-,,0.00
3,2A,3.30,,,0.47,3,1,1,1,2,2,0,1,2,,3.77
4,3Lz+3T< <,9.96,x,,-2.02,-2,-4,-1,-4,-4,-3,-5,-4,-3,,7.94
5,CCoSp4,3.50,,,0.80,3,2,1,2,3,2,3,2,2,,4.30
6,StSq2,2.60,,,0.30,2,0,1,1,1,0,2,1,2,,2.90
7,LSp4,2.70,,,0.04,3,-1,1,1,1,0,-2,-2,1,,2.74
"",,25.26,,,,,,,,,,,,,,25.35
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,7.50,6.50,6.50,7.25,6.75,6.25,6.00,7.00,7.75,,6.82
"",Transitions,,,,0.80,7.00,6.50,6.25,6.25,6.25,5.50,5.75,6.25,7.25,,6.32
"",Performance,,,,0.80,7.25,6.25,6.25,6.00,6.25,5.25,5.75,6.50,7.50,,6.32
"",Composition,,,,0.80,7.50,6.75,6.50,6.75,6.50,5.50,6.25,6.25,7.75,,6.64
"",Interpretation of the Music,,,,0.80,7.25,6.25,6.25,6.50,6.75,5.25,6.00,6.25,7.25,,6.46
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,26.06
Deductions,0.00
