"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",Elements,Value,GOE,,J1,J2,J3,J4,J5,J6,J7,InfoJ8,,J9,Ref,Panel
1,1F*+2T<< !,0.40,,-0.30,-3,-3,-3,-3,-3,,,,,,,0.10
2,2Lo* *,0.00,,0.00,-,-,-,-,-,,,,,,,0.00
3,FCSp3,2.80,,-0.20,0,-1,-1,-1,0,,,,,,,2.60
4,2A<< <<,1.10,,-0.60,-3,-3,-3,-3,-3,,,,,,,0.50
5,CCoSp4,3.50,,0.00,0,0,0,0,0,,,,,,,3.50
6,StSqB,1.50,,0.00,0,1,0,0,0,,,,,,,1.50
7,LSp1,1.50,,0.00,0,0,-1,0,0,,,,,,,1.50
"",,10.80,,,,,,,,,,,,,,9.70
"",Program Components,,,Factor,,,,,,,,,,,,
"",Skating Skills,,,0.80,"3,75","3,50","3,50","3,50","4,00",,,,,,,3.58
"",Transitions,,,0.80,"3,50","3,50","3,25","2,75","3,75",,,,,,,3.42
"",Performance,,,0.80,"3,25","3,75","3,50","2,50","3,50",,,,,,,3.42
"",Composition,,,0.80,"3,50","3,25","3,50","3,25","3,75",,,,,,,3.42
"",Interpretation of the Music,,,0.80,"3,50","3,25","3,50","2,75","3,75",,,,,,,3.42
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,13.82
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
10,Minna KUJANPÄÄ,SWE,5,23.33,11.67,13.66,2.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,3T<<+COMBO <<  1.30,-0.60,-3,-3,-3,-3,-3,,,,,,0.70
2,FSSp4  3.00,0.17,0,0,1,1,0,,,,,,3.17
3,LSp2  1.90,-0.20,-1,0,0,-1,-1,,,,,,1.70
4,2A<< <<  1.10,-0.60,-3,-3,-3,-3,-3,,,,,,0.50
5,2S* *  0.00,x  0.00,-,-,-,-,-,,,,,,0.00
6,StSq2  2.60,0.00,-1,0,0,0,0,,,,,,2.60
7,CCoSp3  3.00,0.00,0,1,0,0,0,,,,,,3.00
"",12.90,,,,,,,,,,,,11.67
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"3,75","3,50","4,25","3,25","3,75",,,,,,3.67
"",Transitions,0.80,"3,25","3,25","3,75","3,00","3,25",,,,,,3.25
"",Performance,0.80,"3,25","3,50","4,00","2,50","3,25",,,,,,3.33
"",Composition,0.80,"3,50","3,50","4,00","3,00","3,50",,,,,,3.50
"",Interpretation of the Music,0.80,"3,25","3,00","4,00","3,25","3,50",,,,,,3.33
"",Judges Total Program Component Score (factored),,,,,,,,,,,,13.66
Deductions,Falls:,-2.00(2),-2.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
11,Kiira KIVISAARI,FIN,6,22.94,10.08,14.86,2.00
"",Executed,Base,,,,,,,,,,,,,,,Scores of
"#",Elements,Value,,GOE,,J1,J2,J3,J4,J5,J6,J7,InfoJ8,,J9,Ref,Panel
1,2A<< <<,1.10,,,-0.60,-3,-3,-3,-3,-3,,,,,,,0.50
2,StSq2,2.60,,,0.33,0,1,1,1,0,,,,,,,2.93
3,LSp1,1.50,,,0.17,0,1,-1,1,0,,,,,,,1.67
4,2Lze+2T* e,1.65,x,,-0.90,-3,-3,-3,-3,-3,,,,,,,0.75
5,FCSp,0.00,,,0.00,-,-,-,-,-,,,,,,,0.00
6,3S<< <<,1.43,x,,-0.60,-3,-3,-3,-3,-3,,,,,,,0.83
7,CCoSp4,3.50,,,-0.10,0,1,-1,-1,0,,,,,,,3.40
"",,11.78,,,,,,,,,,,,,,,10.08
"",Program Components,,,,Factor,,,,,,,,,,,,
"",Skating Skills,,,,0.80,"4,25","3,75","4,00","3,50","4,25",,,,,,,4.00
"",Transitions,,,,0.80,"4,00","3,50","3,75","3,00","3,75",,,,,,,3.67
"",Performance,,,,0.80,"3,75","3,50","3,50","2,75","3,75",,,,,,,3.58
"",Composition,,,,0.80,"3,75","3,75","3,75","3,25","4,00",,,,,,,3.75
"",Interpretation of the Music,,,,0.80,"3,75","3,25","3,75","3,25","4,00",,,,,,,3.58
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,,14.86
Deductions,Falls:,-2.00(2),-2.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
12,Josefine ENROTH,SWE,11,21.23,7.83,13.40,0.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,2T<<* *  0.00,0.00,-,-,-,-,-,,,,,,0.00
2,2A<< <<  1.10,-0.60,-3,-3,-2,-3,-3,,,,,,0.50
3,FCSp1  1.90,-0.60,-2,-2,-2,-2,-2,,,,,,1.30
4,2S*+2Lo<< *  0.50,-0.30,-3,-3,-3,-3,-3,,,,,,0.20
5,StSq2  2.60,-0.17,-1,-1,0,0,0,,,,,,2.43
6,CCoSp2  2.50,-0.40,-1,-2,-2,-1,-1,,,,,,2.10
7,LSp1  1.50,-0.20,0,0,-1,-1,-1,,,,,,1.30
"",10.10,,,,,,,,,,,,7.83
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"3,50","3,50","3,50","3,50","3,75",,,,,,3.50
"",Transitions,0.80,"3,50","3,00","3,25","3,00","3,50",,,,,,3.25
"",Performance,0.80,"3,75","3,25","3,25","2,50","3,25",,,,,,3.25
"",Composition,0.80,"3,75","3,50","3,25","3,00","3,75",,,,,,3.50
"",Interpretation of the Music,0.80,"3,50","3,00","3,25","2,75","3,50",,,,,,3.25
"",Judges Total Program Component Score (factored),,,,,,,,,,,,13.40
Deductions,0.00
